Hand Name,Number of hands played,Number of hand wins,Number of hand losses,Hand win percent,Hand loss percent
High Card,50089,12567,37522,25.089%,74.911%
Pair,42207,30028,12179,71.145%,28.855%
Two Pair,4834,4590,244,94.952%,5.048%
Three of a kind,2089,2051,38,98.181%,1.819%
Straight,385,384,1,99.74%,0.26%
Flush,194,193,1,99.485%,0.515%
Full House,158,158,0,100.0%,0.0%
Four of a kind,14,14,0,100.0%,0.0%
Straight Flush,0,0,0,Ulozenie nie wylosowane,Ulozenie nie wylosowane
Royal Flush,0,0,0,Ulozenie nie wylosowane,Ulozenie nie wylosowane
